NCT	Phase	Conditions	Drugs	BriefTitle	OfficialTrial	Oncotree Codes
NCT00321685	2	Rectal Adenocarcinoma|Stage II Rectal Cancer AJCC v7|Stage III Rectal Cancer AJCC v7	Capecitabine|Fluorouracil|Leucovorin Calcium|Oxaliplatin	Bevacizumab, Radiation Therapy, and Combination Chemotherapy in Treating Patients Who Are Undergoing Surgery for Locally Advanced Nonmetastatic Rectal Cancer	Phase II Study of Preoperative Radiation With Concurrent Capecitabine, Oxaliplatin and Bevacizumab Followed by Surgery and Postoperative 5-FU, Leucovorin, Oxaliplatin (FOLFOX) and Bevacizumab in Patients With Locally Advanced Rectal Cancer	READ|MT|CHOL
NCT00392327	3	Anaplastic Medulloblastoma|Medulloblastoma|Untreated Childhood Medulloblastoma	Carboplatin|Cisplatin|Cyclophosphamide|Isotretinoin|Vincristine Sulfate	Chemotherapy and Radiation Therapy in Treating Young Patients With Newly Diagnosed, Previously Untreated, High-Risk Medulloblastoma	Efficacy of Carboplatin Administered Concomitantly With Radiation and Isotretinoin as a Pro-Apoptotic Agent in Other Than Average Risk Medulloblastoma/PNET Patients	AMBL|MBL
NCT00492778	2	Endometrial Adenocarcinoma|Endometrial Adenosquamous Carcinoma|Endometrial Clear Cell Adenocarcinoma|Endometrial Endometrioid Adenocarcinoma, Variant With Squamous Differentiation|Endometrial Serous Adenocarcinoma|Recurrent Uterine Corpus Carcinoma	Cisplatin	Radiation Therapy With or Without Cisplatin in Treating Patients With Recurrent Endometrial Cancer	A Randomized Trial of Pelvic Irradiation With or Without Concurrent Weekly Cisplatin in Patients With Pelvic-Only Recurrence of Carcinoma of the Uterine Corpus	CEEN|MT|UTERUS|UEC|USC
NCT00601003	2	Neuroblastoma|Medulloblastoma	Nifurtimox|Cyclophosphamide|Topotecan	Study of Nifurtimox to Treat Refractory or Relapsed Neuroblastoma or Medulloblastoma	A Phase II Trial of Nifurtimox for Refractory or Relapsed Neuroblastoma or Medulloblastoma.	MBL|NBL
NCT00632853	3	Lung Cancer	cisplatin|etoposide|carboplatin	Radiation Therapy Regimens in Treating Patients With Limited-Stage Small Cell Lung Cancer Receiving Cisplatin and Etoposide	Phase III Comparison of Thoracic Radiotherapy Regimens in Patients With Limited Small Cell Lung Cancer Also Receiving Cisplatin and Etoposide	NSCLC|MT|LUAS|SCLC|LCLC|LUNG|LUSC|NSCLCPD|CSCLC
NCT00887146	3	Brain and Central Nervous System Tumors	concomitant temozolomide (TMZ)|procarbazine|adjuvant temozolomide (TMZ)|CCNU|vincristine	Radiation Therapy With Concomitant and Adjuvant Temozolomide Versus Radiation Therapy With Adjuvant PCV Chemotherapy in Patients With Anaplastic Glioma or Low Grade Glioma	Phase III Intergroup Study of Radiotherapy With Concomitant and Adjuvant Temozolomide Versus Radiotherapy With Adjuvant PCV Chemotherapy in Patients With 1p/19q Co-deleted Anaplastic Glioma or Low Grade Glioma	BRAIN
NCT00980954	3	Cervical Cancer	carboplatin|cisplatin|paclitaxel	Chemotherapy and Pelvic Radiation Therapy With or Without Additional Chemotherapy in Treating Patients With High-Risk Early-Stage Cervical Cancer After Radical Hysterectomy	Phase III Randomized Study of Concurrent Chemotherapy and Pelvic Radiation Therapy With or Without Adjuvant Chemotherapy in High-Risk Patients With Early-Stage Cervical Carcinoma Following Radical Hysterectomy	MT|UUC|ECAD|CESC
NCT01042522	2	Ovarian Granulosa Cell Tumor|Ovarian Gynandroblastoma|Ovarian Sertoli-Leydig Cell Tumor|Ovarian Sex Cord Tumor With Annular Tubules|Ovarian Sex Cord-Stromal Tumor|Ovarian Sex Cord-Stromal Tumor of Mixed or Unclassified Cell Types|Ovarian Steroid Cell Tumor	Carboplatin|Cisplatin|Etoposide Phosphate|Paclitaxel	Paclitaxel and Carboplatin or Bleomycin Sulfate, Etoposide Phosphate, and Cisplatin in Treating Patients With Advanced or Recurrent Sex Cord-Ovarian Stromal Tumors	A Randomized Phase II Trial of Paclitaxel and Carboplatin vs. Bleomycin, Etoposide, and Cisplatin for Newly Diagnosed Advanced Stage and Recurrent Chemonaive Sex Cord-Stromal Tumors of the Ovary	GRCT|SLCT|SYNS|ES|SCST|EPIS
NCT01101451	3	Cervical Adenocarcinoma|Cervical Adenosquamous Carcinoma|Cervical Squamous Cell Carcinoma, Not Otherwise Specified|Stage IA Cervical Cancer|Stage IB Cervical Cancer|Stage IIA Cervical Cancer	Cisplatin	Radiation Therapy With or Without Chemotherapy in Patients With Stage I or Stage II Cervical Cancer Who Previously Underwent Surgery	Randomized Phase III Clinical Trial of Adjuvant Radiation Versus Chemoradiation in Intermediate Risk, Stage I/IIA Cervical Cancer Treated With Initial Radical Hysterectomy and Pelvic Lymphadenectomy	OTHER|MT|CEAS|CEAD|CESC
NCT01349881	3	Colorectal Neoplasms	Eflornithine placebo & sulindac placebo|eflornithine & sulindac placebo|Eflornithine placebo & sulindac|Eflornithine plus sulindac	S0820, Adenoma and Second Primary Prevention Trial	A Double Blind Placebo-Controlled Trial of Eflornithine and Sulindac to Prevent Recurrence of High Risk Adenomas and Second Primary Colorectal Cancers in Patients With Stage 0-III Colon or Rectal Cancer, Phase III - Preventing Adenomas of the Colon With Eflornithine and Sulindac (PACES)	
NCT01503632	3	Childhood Acute Lymphoblastic Leukemia in Remission	Mercaptopurine	Assessing Compliance With Mercaptopurine Treatment in Younger Patients With Acute Lymphoblastic Leukemia in First Remission	A Comprehensive Approach to Improve Medication Adherence in Pediatric ALL	LYMPH|SYNS
NCT01553071	1	Solid Tumor	Fenretinide (4-HPR) plus Intravenous Safingol	Phase I Trial of IV Fenretinide (4-HPR) Plus IV Safingol for Patients With Relapsed Malignancies	Phase I Trial of Intravenous Fenretinide (4-HPR) Plus Intravenous Safingol for Patients With Relapsed Malignancies	
NCT01595061	2	Stage IIIA Vulvar Cancer AJCC v7|Stage IIIB Vulvar Cancer AJCC v7|Stage IIIC Vulvar Cancer AJCC v7|Stage IVA Vulvar Cancer AJCC v7|Vulvar Squamous Cell Carcinoma	Cisplatin|Gemcitabine Hydrochloride	Radiation Therapy, Gemcitabine Hydrochloride, and Cisplatin in Treating Patients With Locally Advanced Squamous Cell Cancer of the Vulva	A Phase II Trial Evaluating Cisplatin (NSC #119875) and Gemcitabine (NSC #613327) Concurrent With Intensity-Modulated Radiation Therapy (IMRT) in the Treatment of Locally Advanced Squamous Cell Carcinoma of the Vulva (NCT #01595061)	VULVA|MT|CHOL
NCT01602666	2	Central Nervous System Nongerminomatous Germ Cell Tumor|Childhood Central Nervous System Germinoma	Carboplatin|Etoposide|Ifosfamide	Chemotherapy Followed by Radiation Therapy in Treating Younger Patients With Newly Diagnosed Localized Central Nervous System Germ Cell Tumors	Phase 2 Trial of Response-Based Radiation Therapy for Patients With Localized Central Nervous System Germ Cell Tumors (CNS GCT)	BRAIN|GMN
