,Oncotree,Term
0,TLGL,Large Cell Granular Lymphogenous Leukemia
1,TLGL,Large Cell Granular Lymphoid Leukemia
2,TLGL,Large Granular Lymphocytic Leukemia
3,TLGL,Large Granular Lymphocytosis
4,TLGL,LGLL
5,TLGL,T Gamma Lymphoproliferative Disorder
6,TLGL,T-Cell Large Granular Lymphocyte Leukemia
7,TLGL,T-Cell Large Granular Lymphocytic Leukemia
8,TLGL,T-Gamma Lymphoproliferative Disorder
9,HDCN,Histiocytic Infiltrate
10,HDCN,Histiocytosis
11,DNT,DNET
12,DNT,Dysembryoplastic Neuroepithelial Neoplasm
13,DNT,Dysembryoplastic Neuroepithelial Tumor
14,SCEMU,"Cervical Mucinous Adenocarcinoma, Signet Ring Cell Type"
15,SCEMU,"Cervical Mucinous Adenocarcinoma, Signet Ring Cell Variant"
16,DESM,Desmoplastic Melanoma
17,LUCA,Carcinoid Tumor of Lung
18,LUCA,Carcinoid Tumor of the Lung
19,LUCA,Lung Carcinoid Tumor
20,LUCA,Pulmonary Carcinoid Tumor
21,FA,Breast Fibroadenoma
22,FA,Fibroadenoma of Breast
23,FA,Fibroadenoma of the Breast
24,FA,Fibroadenoma
25,PCT,Porphyria Cutanea Tarda
26,BILIARY_TRACT,Bile Tract
27,BILIARY_TRACT,Biliary System
28,BILIARY_TRACT,Biliary Tract
29,BILIARY_TRACT,"Tract, Biliary"
30,PPB,Pleuropulmonary Blastoma
31,PPB,Pulmonary Blastoma of Childhood
32,PROSTATE,"Genital System, Male, Prostate"
33,PROSTATE,Prostate Gland
34,PROSTATE,Prostate
35,PROSTATE,Prostatic Gland
36,MOV,Mucinous Neoplasm of Ovary
37,MOV,Mucinous Neoplasm of the Ovary
38,MOV,Mucinous Tumor of Ovary
39,MOV,Mucinous Tumor of the Ovary
40,MOV,Ovarian Mucinous Neoplasm
41,MOV,Ovarian Mucinous Tumor
42,LGESS,Endolymphatic Stromal Myosis
43,LGESS,Low Grade Endometrioid Stromal Sarcoma
44,ULMS,Body of Uterus Leiomyosarcoma
45,ULMS,Corpus Uteri Leiomyosarcoma
46,ULMS,Leiomyosarcoma of Body of Uterus
47,ULMS,Leiomyosarcoma of Corpus Uteri
48,ULMS,Leiomyosarcoma of the Body of Uterus
49,ULMS,Leiomyosarcoma of the Corpus Uteri
50,ULMS,Leiomyosarcoma of the Uterine Body
51,ULMS,Leiomyosarcoma of the Uterine Corpus
52,ULMS,Leiomyosarcoma of the Uterus
53,ULMS,Leiomyosarcoma of Uterine Body
54,ULMS,Leiomyosarcoma of Uterine Corpus
55,ULMS,Leiomyosarcoma of Uterus
56,ULMS,Uterine Body Leiomyosarcoma
57,ULMS,Uterine Corpus Leiomyosarcoma
58,DF,Benign Cutaneous Fibrous Histiocytoma
59,DF,Benign Fibrous Cutaneous Histiocytoma
60,DF,Benign Fibrous Histiocytoma of Skin
61,DF,Benign Fibrous Histiocytoma of the Skin
62,DF,Benign Skin Fibrous Histiocytoma
63,DF,Cutaneous Fibrous Histiocytoma
64,DF,Dermatofibroma
65,DF,Fibrous Histiocytoma of Skin
66,DF,Fibrous Histiocytoma of the Skin
67,SDCA,Carcinoma of Salivary Duct
68,SDCA,Carcinoma of the Salivary Duct
69,SDCA,High Grade Salivary Duct Carcinoma
70,SDCA,Salivary Duct Carcinoma
71,PBL,Pineal Gland PNET
72,PBL,Pineal Gland Primitive Neuroectodermal Neoplasm
73,PBL,Pineal Gland Primitive Neuroectodermal Tumor
74,PBL,Pineal PNET
75,PBL,Pineal Primitive Neuroectodermal Neoplasm
76,PBL,Pineal Primitive Neuroectodermal Tumor
77,PBL,Pineoblastoma (WHO Grade IV)
78,PBL,Pineoblastoma
79,PBL,PNET of Pineal Gland
80,PBL,PNET of the Pineal Gland
81,PBL,Primitive Neuroectodermal Neoplasm of Pineal Gland
82,PBL,Primitive Neuroectodermal Neoplasm of the Pineal Gland
83,PBL,Primitive Neuroectodermal Tumor of Pineal Gland
84,PBL,Primitive Neuroectodermal Tumor of the Pineal Gland
85,MMBL,Medulloblastoma with Melanotic Differentiation
86,MMBL,Melanocytic Medulloblastoma
87,MMBL,Melanotic Medulloblastoma
88,HPCCNS,Hemangiopericytoma of Meninges
89,HPCCNS,Hemangiopericytoma of the Meninges
90,HPCCNS,Meningeal Hemangiopericytoma
91,HPCCNS,Meningeal Solitary Fibrous Tumor/Hemangiopericytoma
92,HPCCNS,Meninges Hemangiopericytoma
